sub_id_6,sub_id_5,sub_id_3,sub_id_2,campaign,campaign_id,datetime,cost,revenue,profit,clicks,campaign_unique_clicks,conversions,roi_confirmed,lp_clicks,cr,lp_ctr,revenue_to_cost_ratio,conversion_rate,profit_margin,cluster,recommendation,reason,priority,urgent,action_needed,potential_impact
26-07-2025 - DE - Lenor - Review - Creative 1,Adset #5,120231892780860596,120231892898230596,Facebook.com - Sweeps - SOI - Lenor - DE - UA78 - BM1 - Acc 1,454,1753621973000,1.11,0.0,-1.11,1,1,0,-100.0,1,0,100,0.0,0.0,-0.9999990990999108,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,111.00000000000001
23-07-2025 - DE - Makita - Photo - Creative 5,Adset #4,120227446682300519,120227446708810519,Facebook.com - Sweeps - SOI - Makita - DE - UA83 - BM1 - Acc 1,426,1753526947000,1.095,0.0,-1.1,1,1,0,-100.0,1,0,100,0.0,0.0,-1.0045652926344362,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,109.5
25-07-2025 - US - Aldi - Creative 1,MV25-64 - Adset 1,120229247006550075,120229247006710075,Facebook.com - Sweeps - SOI - Aldi - Tester - US - UA64 - BM1 - Acc 3,391,1753578682000,1.09,0.0,-1.09,1,1,0,-100.0,1,0,100,0.0,0.0,-0.9999990825696491,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,109.00000000000001
24-07-2025 - DE - Gillette - Man - Creative 5,Adset #2,120228794886340368,120228794983040368,Facebook.com - Sweeps - SOI - Gillette - DE - UA50 - BM2 - Acc 1,415,1753609850000,1.0409,0.0,-1.04,1,1,0,-100.0,1,0,100,0.0,0.0,-0.9991344037521341,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,104.08999999999999
26-07-2025 - DE - Xiaomi - Reviews - Creative 2,Adset #5,120232806207870679,120232806446060679,Facebook.com - Sweeps - SOI - Xiaomi - DE - UA82 - BM1 - Acc 5,455,1753614702000,1.04,0.0,-1.04,1,1,0,-100.0,1,0,100,0.0,0.0,-0.9999990384624631,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,104.0
23-07-2025 - DE - Xiaomi - Creative 2,Adset #1,120229974586200210,120229974588880210,Facebook.com - Sweeps - SOI - Xiaomi - DE - UA83 - BM1 - Acc 2,430,1753615608000,0.99,0.0,-0.99,1,1,0,-100.0,1,0,100,0.0,0.0,-0.9999989899000101,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,99.0
26-07-2025 - DE - Lenor - Review - Creative 1,Adset #2,120231892780860596,120231892805720596,Facebook.com - Sweeps - SOI - Lenor - DE - UA78 - BM1 - Acc 1,454,1753616727000,0.985,0.0,-0.99,1,1,0,-100.0,1,0,100,0.0,0.0,-1.0050751217511453,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,98.5
25-07-2025 - DE - Gillette - Creative 5,MV25-64 - Adset 4,120228987231070368,120228987232180368,Facebook.com - Sweeps - SOI - Gillette - DE - UA50 - BM2 - Acc 1,415,1753583991000,0.98,0.0,-0.98,1,1,0,-100.0,1,0,100,0.0,0.0,-0.999998979592878,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,98.0
25-07-2025 - DE - Rituals - Creative 5,25-64 - Adset 5,120230831545890045,120230831545960045,Facebook.com - Sweeps - SOI - Rituals - DE - UA85 - BM1 - Acc 1,458,1753566603000,0.974,0.0,-0.97,1,1,0,-100.0,1,0,100,0.0,0.0,-0.9958922013427091,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,97.39999999999999
26-07-2025 - DE - Xiaomi - Reviews - Creative 5,Adset #2,120232807143550679,120232807196770679,Facebook.com - Sweeps - SOI - Xiaomi - DE - UA82 - BM1 - Acc 5,455,1753605537000,0.95,0.0,-0.95,1,1,0,-100.0,1,0,100,0.0,0.0,-0.9999989473695291,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,95.0
26-07-2025 - DE - Lenor - Review - Creative 1,Adset #4,120231892780860596,120231892850460596,Facebook.com - Sweeps - SOI - Lenor - DE - UA78 - BM1 - Acc 1,454,1753620811000,0.945,0.0,-0.95,1,1,0,-100.0,1,0,100,0.0,0.0,-1.0052899414921255,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,94.5
23-07-2025 - UK - Lenor - Woman - Creative 3,Adset #1,120231940194440400,120231940195420400,Facebook.com - Sweeps - SOI - Lenor - UK - UA25 - BM1 - Acc 3,457,1753563402000,0.93,0.0,-0.93,1,1,0,-100.0,1,0,100,0.0,0.0,-0.999998924732339,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,93.0
24-07-2025 - DE - Gillette - Man - Creative 2,Adset #2,120228794210580368,120228794260370368,Facebook.com - Sweeps - SOI - Gillette - DE - UA50 - BM2 - Acc 1,415,1753583612000,0.9043,0.0,-0.9,1,1,0,-100.0,1,0,100,0.0,0.0,-0.9952438402699986,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,90.42999999999999
26-07-2025 - DE - Xiaomi - Reviews - Creative 5,Adset #3,120232807143550679,120232807240950679,Facebook.com - Sweeps - SOI - Xiaomi - DE - UA82 - BM1 - Acc 5,455,1753622755000,0.898,0.0,-0.9,1,1,0,-100.0,1,0,100,0.0,0.0,-1.0022260554275553,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,89.8
26-07-2025 - DE - Lenor - Review - Creative 5,Adset #1,120231894120240596,120231894132280596,Facebook.com - Sweeps - SOI - Lenor - DE - UA78 - BM1 - Acc 1,454,1753624250000,0.8975,0.0,-0.9,1,1,0,-100.0,1,0,100,0.0,0.0,-1.0027843980118127,1,REDUCE_BUDGET,Poor performance - reduce budget by 50%,3,False,True,89.75
