sub_id_6,sub_id_5,sub_id_3,sub_id_2,campaign,campaign_id,datetime,cost,revenue,profit,clicks,campaign_unique_clicks,conversions,roi_confirmed,lp_clicks,cr,lp_ctr
23-07-2025 - UK - Lenor - Woman - Creative 3,Adset #2,120231940194440400,120231940241670400,Facebook.com - Sweeps - SOI - Lenor - UK - UA25 - BM1 - Acc 3,457,2025-07-26 11:09:25,0.0,0.0,0.0,1,1,0,0.0,0,0,0.0
23-07-2025 - IT - Douglas - Woman - Creative 2,Adset #5,120230635990900628,120230636111510628,Facebook.com - Sweeps - SOI - Douglas - IT - UA18 - BM1 - Acc 6,406,2025-07-26 11:08:59,0.0,0.0,0.0,1,1,0,0.0,1,0,100.0
18-07-2025 - DE - Xiaomi - Creative 8,Adset #1,120229697184490210,120229697186550210,Facebook.com - Sweeps - SOI - Xiaomi - DE - UA83 - BM1 - Acc 2,430,2025-07-26 11:08:54,0.0,0.0,0.0,1,1,0,0.0,0,0,0.0
24-07-2025 - DE - Gillette - Man - Creative 3,Adset #3,120228794387900368,120228794412840368,Facebook.com - Sweeps - SOI - Gillette - DE - UA50 - BM2 - Acc 1,415,2025-07-26 11:08:35,0.0,0.0,0.0,1,1,0,0.0,0,0,0.0
25-07-2025 - DE - Xiaomi - Man - Creative 4,MV25-64 - Adset 3,120232532219850679,120232532220680679,Facebook.com - Sweeps - SOI - Xiaomi - DE - UA82 - BM1 - Acc 5,455,2025-07-26 11:08:20,0.54,0.0,-0.54,1,1,0,-100.0,1,0,100.0
24-07-2025 - DE - Gillette - Man - Creative 4,Adset #3,120228794634080368,120228794832750368,Facebook.com - Sweeps - SOI - Gillette - DE - UA50 - BM2 - Acc 1,415,2025-07-26 11:07:34,0.536,0.0,-0.54,1,1,0,-100.0,0,0,0.0
25-07-2025 - DE - Gillette - Creative 4,MV25-64 - Adset 3,120228987231050368,120228987231440368,Facebook.com - Sweeps - SOI - Gillette - DE - UA50 - BM2 - Acc 1,415,2025-07-26 11:07:13,0.34,0.0,-0.34,1,1,0,-100.0,1,0,100.0
22-07-2025 - UK - Dove - Woman - 35-45 - Creative 3,Adset #1,120231856329280400,120231856329440400,Facebook.com - Sweeps - SOI - Dove - UK - UA25 - BM1 - Acc 3,210,2025-07-26 11:07:06,0.2425,0.0,-0.24,1,1,0,-100.0,1,0,100.0
25-07-2025 - DE - Gillette - Creative 5,MV25-64 - Adset 2,120228987231070368,120228987232220368,Facebook.com - Sweeps - SOI - Gillette - DE - UA50 - BM2 - Acc 1,415,2025-07-26 11:07:02,0.0,0.0,0.0,1,1,0,0.0,1,0,100.0
23-07-2025 - DE - Makita - Photo - Creative 3,Adset #2,120227446586830519,120227446597880519,Facebook.com - Sweeps - SOI - Makita - DE - UA83 - BM1 - Acc 1,426,2025-07-26 11:06:58,0.2875,0.0,-0.29,1,1,0,-100.0,0,0,0.0
